seed	test_ap	log_path
0	0.715814	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260402_180152/seed_0.log
1	0.676097	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260402_180152/seed_1.log
2	0.695125	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260402_180152/seed_2.log
3	0.711365	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260402_180152/seed_3.log
4	0.705494	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260402_180152/seed_4.log
