seed	test_ap	log_path
0	0.961655	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260404_204337/seed_0.log
1	0.958997	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260404_204337/seed_1.log
2	0.954336	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260404_204337/seed_2.log
3	0.959869	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260404_204337/seed_3.log
4	0.959219	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260404_204337/seed_4.log
