seed	test_ap	log_path
0	0.876682	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_mooc_2gpu_20260404_073748/seed_0.log
1	0.857571	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_mooc_2gpu_20260404_073748/seed_1.log
2	0.864935	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_mooc_2gpu_20260404_073748/seed_2.log
3	0.868308	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_mooc_2gpu_20260404_073748/seed_3.log
4	0.868239	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_mooc_2gpu_20260404_073748/seed_4.log
