seed	test_ap	log_path
0	0.779237	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_mooc_2gpu_20260405_094448/seed_0.log
1	0.792021	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_mooc_2gpu_20260405_094448/seed_1.log
2	0.769007	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_mooc_2gpu_20260405_094448/seed_2.log
3	0.800090	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_mooc_2gpu_20260405_094448/seed_3.log
4	0.758892	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_mooc_2gpu_20260405_094448/seed_4.log
