seed	test_ap	log_path
0	0.705072	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_2gpu_20260403_153626/seed_0.log
1	0.720400	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_2gpu_20260403_153626/seed_1.log
2	0.698128	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_2gpu_20260403_153626/seed_2.log
3	0.698627	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_2gpu_20260403_153626/seed_3.log
4	0.688322	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_2gpu_20260403_153626/seed_4.log
