seed	test_ap	log_path
0	0.983212	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_wikipedia_2gpu_20260404_105014/seed_0.log
1	0.985446	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_wikipedia_2gpu_20260404_105014/seed_1.log
2	0.984722	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_wikipedia_2gpu_20260404_105014/seed_2.log
3	0.984543	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_wikipedia_2gpu_20260404_105014/seed_3.log
4	0.985206	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_wikipedia_2gpu_20260404_105014/seed_4.log
