seed	test_ap	log_path
0	0.719354	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260404_203813/seed_0.log
1	0.731222	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260404_203813/seed_1.log
2	0.712068	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260404_203813/seed_2.log
3	0.701477	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260404_203813/seed_3.log
4	0.723329	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260404_203813/seed_4.log
