seed	test_ap	log_path
0	0.540357	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_lastfm_2gpu_20260405_094354/seed_0.log
1	0.576173	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_lastfm_2gpu_20260405_094354/seed_1.log
2	0.699278	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_lastfm_2gpu_20260405_094354/seed_2.log
3	0.659838	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_lastfm_2gpu_20260405_094354/seed_3.log
4	0.548539	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_lastfm_2gpu_20260405_094354/seed_4.log
