seed	test_ap	log_path
0	0.708681	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_20260403_024631/seed_0.log
1	0.681437	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_20260403_024631/seed_1.log
2	0.582016	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_20260403_024631/seed_2.log
3	0.534192	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_20260403_024631/seed_3.log
4	0.539190	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_apan_lastfm_20260403_024631/seed_4.log
