seed	test_ap	log_path
0	0.975214	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260405_012927/seed_0.log
1	0.973957	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260405_012927/seed_1.log
2	0.974608	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260405_012927/seed_2.log
3	0.975936	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260405_012927/seed_3.log
4	0.976013	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_wikipedia_2gpu_20260405_012927/seed_4.log
