seed	test_ap	log_path
0	0.967127	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_wikipedia_2gpu_20260405_094312/seed_0.log
1	0.966869	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_wikipedia_2gpu_20260405_094312/seed_1.log
2	0.969905	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_wikipedia_2gpu_20260405_094312/seed_2.log
3	0.968856	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_wikipedia_2gpu_20260405_094312/seed_3.log
4	0.965782	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_dyrep_wikipedia_2gpu_20260405_094312/seed_4.log
