seed	test_ap	log_path
0	0.712218	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260405_012932/seed_0.log
1	0.593023	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260405_012932/seed_1.log
2	0.695739	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260405_012932/seed_2.log
3	0.686989	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260405_012932/seed_3.log
4	0.552103	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_lastfm_2gpu_20260405_012932/seed_4.log
