seed	test_ap	log_path
0	0.829326	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_20260401_041154/seed_0.log
1	0.820800	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_20260401_041154/seed_1.log
2	0.815017	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_20260401_041154/seed_2.log
3	0.778893	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_20260401_041154/seed_3.log
4	0.781849	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_tgn_lastfm_20260401_041154/seed_4.log
