seed	test_ap	log_path
0	0.777688	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260405_012905/seed_0.log
1	0.811618	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260405_012905/seed_1.log
2	0.805874	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260405_012905/seed_2.log
3	0.774473	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260405_012905/seed_3.log
4	0.768820	/home/sqp17/Projects/frost/third_party/tgl/seed_sweeps/tgl_jodie_mooc_2gpu_20260405_012905/seed_4.log
